Game Reference,Date,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
202101050BRK,1/5/2021,BRK,game,TRUE,Kyrie Irving,irvinky01,29.35,12,19,0.632,5,7,0.714,0,0,,0,6,6,5,3,0,2,3,29,22,
202101200CLE,1/20/2021,BRK,game,TRUE,Kyrie Irving,irvinky01,48.22,15,28,0.536,3,8,0.375,4,5,0.8,1,1,2,3,1,3,4,4,37,-7,
202101220CLE,1/22/2021,BRK,game,TRUE,Kyrie Irving,irvinky01,30.50,14,24,0.583,4,9,0.444,6,6,1,1,0,1,5,0,1,2,3,38,-11,
202101230BRK,1/23/2021,BRK,game,TRUE,Kyrie Irving,irvinky01,36.23,10,17,0.588,3,5,0.6,5,6,0.833,1,5,6,7,0,1,2,5,28,5,
202101250BRK,1/25/2021,BRK,game,TRUE,Kyrie Irving,irvinky01,39.46,6,17,0.353,1,4,0.25,3,3,1,0,8,8,4,1,0,2,2,16,10,
202101270ATL,1/27/2021,BRK,game,TRUE,Kyrie Irving,irvinky01,41.56,11,17,0.647,1,3,0.333,3,4,0.75,1,3,4,7,0,2,2,5,26,-7,
202101290OKC,1/29/2021,BRK,game,TRUE,Kyrie Irving,irvinky01,33.40,10,16,0.625,1,3,0.333,4,4,1,2,3,5,7,1,1,3,2,25,25,
202101310WAS,1/31/2021,BRK,game,TRUE,Kyrie Irving,irvinky01,38.12,10,20,0.5,1,2,0.5,5,5,1,1,3,4,8,0,0,3,2,26,3,
202102020BRK,2/2/2021,BRK,game,TRUE,Kyrie Irving,irvinky01,36.37,15,23,0.652,6,8,0.75,3,3,1,1,4,5,2,1,2,1,4,39,-4,
202102050BRK,2/5/2021,BRK,game,TRUE,Kyrie Irving,irvinky01,35.01,6,12,0.5,0,4,0,3,4,0.75,0,5,5,5,0,1,7,1,15,-8,
202102090DET,2/9/2021,BRK,game,TRUE,Kyrie Irving,irvinky01,35.22,12,28,0.429,2,9,0.222,1,1,1,0,2,2,7,2,0,1,5,27,-13,
202102100BRK,2/10/2021,BRK,game,TRUE,Kyrie Irving,irvinky01,35.25,8,17,0.471,2,6,0.333,17,17,1,2,2,4,8,1,2,2,4,35,17,
202102130GSW,2/13/2021,BRK,game,TRUE,Kyrie Irving,irvinky01,33.38,10,17,0.588,2,5,0.4,1,1,1,2,3,5,4,1,0,1,1,23,22,
202102150SAC,2/15/2021,BRK,game,TRUE,Kyrie Irving,irvinky01,30.44,15,22,0.682,9,11,0.818,1,4,0.25,1,3,4,3,2,0,3,3,40,5,
