Game Reference,Date,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
202103270LAC,3/27/2021,Ben Simmons,simmobe01,26.2,10,0.6,0,0,,3,5,0.6,1,6,7,2,1,0,6,6,15,25
202103290BRK,3/29/2021,Bruce Brown,brownbr01,29.12,4,0.75,0,0,,4,4,1,2,3,5,5,1,0,1,5,10,12
202104030DET,4/3/2021,Mason Plumlee,plumlma01,21.17,4,0.75,0,0,,3,3,1,3,7,10,1,1,2,1,3,9,11
202104040CHI,4/4/2021,LaMarcus Aldridge,aldrila01,26.29,10,0.5,1,1,1,0,0,,0,3,3,1,0,3,1,2,11,21
202104060DEN,4/6/2021,Mason Plumlee,plumlma01,20.19,3,0.667,0,0,,0,0,,0,2,2,3,0,0,0,1,4,6
202104100PHO,4/10/2021,Alex Len,lenal01,12.14,2,1,0,0,,2,4,0.5,1,2,3,1,0,0,2,0,6,8
202104110MEM,4/11/2021,Jonas ValanÄiÅ«nas,valanjo01,32.14,25,0.64,0,0,,2,2,1,12,10,22,2,0,2,1,2,34,52
202104260SAC,4/26/2021,Maxi Kleber,klebima01,9.4,1,1,0,0,,0,0,,0,0,0,0,0,0,1,0,2,2
202104300PHO,4/30/2021,Rudy Gobert,goberru01,23.45,4,0.75,0,0,,2,2,1,1,9,10,1,0,3,1,1,8,10
202105080PHI,5/7/2021,Mason Plumlee,plumlma01,24.34,9,0.667,0,0,,0,0,,3,3,6,5,1,2,1,4,12,18
202105130NYK,5/13/2021,Nerlens Noel,noelne01,26.33,3,0.667,0,0,,2,2,1,4,1,5,0,1,2,0,3,6,8
202105160MIN,5/16/2021,Dwight Powell,poweldw01,27.37,3,0.667,0,0,,2,2,1,3,4,7,8,0,2,1,5,6,8
202105270MIA,5/27/2021,Bam Adebayo,adebaba01,31.32,14,0.5,0,0,,3,3,1,3,5,8,4,1,1,2,2,17,31
202106110ATL,6/11/2021,Clint Capela,capelca01,28.03,8,0.375,0,0,,2,4,0.5,6,10,16,2,2,1,0,3,8,20
202210190MIA,10/19/2022,Jimmy Butler,butleji01,36.34,11,0.455,0,0,,14,16,0.875,3,5,8,3,1,1,2,2,24,38
202210220MIL,10/22/2022,Usman Garuba,garubus01,25.02,3,0.667,1,1,1,1,2,0.5,4,4,8,2,4,0,2,2,6,9
202210220DEN,10/22/2022,Aleksej Pokusevski,pokusal01,12.06,1,0,0,0,,0,0,,0,1,1,0,2,1,0,1,0,2
202210270GSW,10/27/2022,Bam Adebayo,adebaba01,37.44,13,0.769,0,0,,6,8,0.75,4,4,8,1,4,3,5,2,26,34
202210300DAL,10/30/2022,JaVale McGee,mcgeeja01,8.52,2,0,0,0,,0,0,,0,3,3,0,0,0,0,1,0,4
202211070SAS,11/7/2022,Jakob Poeltl,poeltja01,31.48,3,0.667,0,0,,0,2,0,0,7,7,9,2,3,3,1,4,8
202211100NOP,11/10/2022,Zion Williamson,willizi01,31.4,14,0.643,1,1,1,10,15,0.667,1,5,6,3,1,0,3,4,29,44
202211190POR,11/19/2022,Mike Conley,conlemi01,9.05,1,0,0,0,,0,0,,0,1,1,3,1,0,0,2,0,2
202211220DEN,11/22/2022,Marvin Bagley III,baglema01,22.12,8,0.875,0,0,,0,0,,2,1,3,0,0,2,1,2,14,16
202211300CLE,11/30/2022,Joel Embiid,embiijo01,28.31,16,0.375,0,0,,7,9,0.778,3,3,6,6,3,0,1,2,19,41
202212020GSW,12/2/2022,DeMar DeRozan,derozde01,35.45,15,0.267,0,0,,8,9,0.889,1,5,6,7,0,0,1,4,16,39
202212040BRK,12/4/2022,Nic Claxton,claxtni01,37.57,5,0.8,0,0,,1,6,0.167,5,9,14,1,1,2,1,2,9,16
202212060MIA,12/6/2022,Bam Adebayo,adebaba01,34.13,16,0.563,0,0,,3,6,0.5,1,14,15,2,0,1,5,3,21,38
202212070NYK,12/7/2022,Jalen Johnson,johnsja05,13.41,2,1,1,1,1,1,1,1,0,3,3,1,0,0,0,6,6,6
202212080SAS,12/8/2022,Alperen ÅžengÃ¼n,sengual01,28.3,17,0.471,0,0,,0,0,,7,4,11,2,0,0,3,3,16,34
202212090MEM,12/9/2022,Jalen Duren,durenja01,27.32,7,0.714,0,0,,0,0,,2,10,12,0,0,0,1,3,10,14
202212100POR,12/9/2022,Kyle Anderson,anderky01,39.29,9,0.556,0,0,,4,4,1,0,7,7,6,1,0,2,3,14,22
202212230CLE,12/23/2022,Jarrett Allen,allenja01,30.32,6,0.833,0,0,,1,2,0.5,1,6,7,1,1,0,0,2,11,14
202301060SAS,1/6/2023,Jalen Duren,durenja01,27.01,8,0.625,0,0,,1,1,1,3,6,9,0,2,0,1,2,11,17
202301090BOS,1/9/2023,DeMar DeRozan,derozde01,23.06,9,0.667,0,0,,1,1,1,0,3,3,3,1,0,2,1,13,19
202301090MEM,1/9/2023,Jakob Poeltl,poeltja01,26.13,10,0.6,0,0,,1,2,0.5,2,5,7,2,2,0,2,4,13,22
202301130DET,1/13/2023,Nerlens Noel,noelne01,19,3,0.667,0,0,,0,0,,1,0,1,1,1,0,0,4,4,6
202301150LAL,1/15/2023,Juan Toscano-Anderson,toscaju01,21.56,3,1,0,0,,0,0,,1,3,4,1,1,0,0,1,6,6
202301160CHO,1/16/2023,Mason Plumlee,plumlma01,31.05,9,0.778,0,0,,5,9,0.556,6,6,12,7,0,0,1,3,19,27
202301180NYK,1/18/2023,Mitchell Robinson,robinmi01,9.04,0,,0,0,,0,4,0,2,0,2,0,2,2,0,0,0,4
202301180DEN,1/18/2023,Kyle Anderson,anderky01,34.29,10,0.6,1,1,1,0,2,0,2,9,11,8,4,1,2,3,13,23
202301200ORL,1/20/2023,Markelle Fultz,fultzma01,23.43,8,0.375,0,0,,3,4,0.75,0,2,2,3,0,1,2,0,9,20
202301200DAL,1/20/2023,Kyle Lowry,lowryky01,20.52,3,0.667,0,0,,1,2,0.5,1,3,4,2,0,0,0,1,5,8
202301260BRK,1/26/2023,Ben Simmons,simmobe01,19.47,3,0,0,0,,0,0,,1,0,1,7,1,0,3,0,0,6
202301280SAS,1/28/2023,Tre Jones,jonestr01,27.59,10,0.3,0,0,,1,2,0.5,0,3,3,4,3,0,0,2,7,22
202301280UTA,1/28/2023,Dwight Powell,poweldw01,22.32,3,0.333,0,0,,0,0,,2,1,3,3,2,1,2,2,2,6
202302150LAL,2/15/2023,Jonas ValanÄiÅ«nas,valanjo01,31.06,9,0.667,0,0,,0,0,,2,9,11,2,1,0,1,3,12,18
202302240MIN,2/24/2023,Kyle Anderson,anderky01,28.24,6,0.5,0,0,,0,3,0,1,6,7,6,0,2,4,2,6,15
202303080PHO,3/8/2023,Josh Giddey,giddejo01,21.36,12,0.25,1,1,1,3,3,1,3,4,7,5,2,0,3,2,10,28
202303110NOP,3/11/2023,Jonas ValanÄiÅ«nas,valanjo01,16.22,6,0.667,1,1,1,4,5,0.8,2,2,4,1,0,0,3,3,13,18
202303190LAL,3/19/2023,Jarred Vanderbilt,vandeja01,23.01,1,1,0,0,,0,0,,2,8,10,2,0,1,4,2,2,2
202303240TOR,3/24/2023,James Wiseman,wisemja01,23.27,13,0.538,0,0,,0,2,0,0,4,4,1,0,1,2,1,14,28
202303250MIA,3/25/2023,Kevin Love,loveke01,18.5,4,0.5,1,1,1,0,0,,1,2,3,2,0,0,0,2,5,9
202303260CLE,3/26/2023,Alperen ÅžengÃ¼n,sengual01,33,12,0.5,0,0,,2,4,0.5,2,6,8,4,0,1,3,4,14,28
202303310BRK,3/31/2023,Clint Capela,capelca01,19.52,6,0.5,0,0,,0,0,,2,4,6,0,1,0,0,2,6,12
202304040DET,4/4/2023,Jalen Duren,durenja01,35.54,8,0.875,0,0,,6,7,0.857,3,11,14,1,1,1,2,3,20,23
202304070BOS,4/7/2023,Jakob Poeltl,poeltja01,21.23,3,0.333,0,0,,1,2,0.5,2,5,7,0,1,0,0,3,3,8
202305200LAL,5/20/2023,Anthony Davis,davisan02,41.52,18,0.611,0,0,,6,8,0.75,5,13,18,1,0,2,1,3,28,44
202012250LAL,12/25/2020,Dwight Powell,poweldw01,23.32,4,1,1,1,1,2,4,0.5,0,3,3,1,3,0,1,2,11,13
202101020PHI,1/2/2021,Bismack Biyombo,biyombi01,30.35,7,0.429,0,0,,3,4,0.75,3,6,9,5,1,0,2,3,9,18
202101040ATL,1/4/2021,Elfrid Payton,paytoel01,28.31,18,0.333,0,0,,2,2,1,2,1,3,5,0,2,2,3,14,38
202101120GSW,1/12/2021,James Wiseman,wisemja01,26.03,12,0.333,0,0,,0,2,0,4,5,9,0,0,2,2,5,8,26
202101240ORL,1/24/2021,Bismack Biyombo,biyombi01,24.53,1,1,0,0,,0,2,0,1,4,5,2,2,1,2,4,2,4
202101270PHI,1/27/2021,Ben Simmons,simmobe01,39.03,15,0.533,0,0,,1,2,0.5,3,8,11,10,1,1,1,2,17,32
202102040DAL,2/4/2021,Maxi Kleber,klebima01,20.22,2,0.5,0,0,,0,0,,0,7,7,1,0,1,1,4,2,4
202102090UTA,2/9/2021,Tristan Thompson,thomptr01,25.41,7,0.429,0,0,,1,2,0.5,2,3,5,3,0,0,0,2,7,16
202102130UTA,2/13/2021,Bam Adebayo,adebaba01,36.49,17,0.412,0,0,,0,0,,2,8,10,6,2,0,1,0,14,34
202102140LAC,2/14/2021,Jarrett Allen,allenja01,28.12,10,0.6,0,0,,3,3,1,1,9,10,3,0,0,4,2,15,23
202103120CHI,3/12/2021,Wendell Carter Jr.,cartewe01,22.27,5,0.2,0,0,,2,2,1,4,6,10,3,0,0,0,2,4,12
202103140MIN,3/14/2021,Enes Freedom,kanteen01,26.05,8,0.25,0,0,,0,0,,6,5,11,1,1,0,2,4,4,16
202104110POR,4/11/2021,Jusuf NurkiÄ‡,nurkiju01,22.18,3,0.667,0,0,,2,4,0.5,3,6,9,4,0,3,4,4,6,10
202104140DEN,4/14/2021,Jimmy Butler,butleji01,27.34,8,0.625,0,0,,3,3,1,1,2,3,9,3,0,1,1,13,19
202104140NOP,4/14/2021,Taj Gibson,gibsota01,35.11,5,0.8,0,0,,0,1,0,4,6,10,2,0,2,0,4,8,11
202104160PHI,4/16/2021,Ivica Zubac,zubaciv01,15.57,3,0.667,0,0,,0,0,,2,5,7,0,0,0,2,3,4,6
202104160SAS,4/16/2021,Jusuf NurkiÄ‡,nurkiju01,22.14,11,0.364,0,0,,1,2,0.5,2,4,6,4,0,1,3,2,9,24
202104210SAS,4/21/2021,Jakob Poeltl,poeltja01,28.35,3,1,0,0,,2,2,1,2,7,9,1,1,5,2,2,8,8
202105010DAL,5/1/2021,Alex Len,lenal01,4.4,2,0,0,0,,0,0,,0,1,1,1,0,0,0,1,0,4
202105030LAL,5/3/2021,Andre Drummond,drumman01,21.31,5,0.4,0,0,,0,1,0,0,0,0,1,2,0,3,5,4,11
202105090LAL,5/9/2021,Deandre Ayton,aytonde01,32.35,3,1,0,0,,0,0,,1,5,6,2,1,1,1,4,6,6
202105100ATL,5/10/2021,Alex Len,lenal01,12.03,3,0.333,0,0,,0,0,,0,3,3,0,1,2,0,1,2,6
202105110BOS,5/11/2021,Tristan Thompson,thomptr01,28.28,4,0.25,0,0,,0,0,,0,3,3,1,2,0,1,4,2,8
202105130NYK,5/13/2021,Elfrid Payton,paytoel01,12.39,4,0,0,0,,0,0,,0,1,1,2,0,0,1,2,0,8
202105190MEM,5/19/2021,DeMar DeRozan,derozde01,37.54,21,0.238,0,0,,10,11,0.909,1,2,3,3,0,0,2,4,20,53
202105260PHI,5/26/2021,Alex Len,lenal01,12.11,5,0.6,0,0,,0,0,,3,2,5,0,1,0,0,2,6,10
202107010MIL,7/1/2021,Clint Capela,capelca01,21.08,3,0.667,0,0,,2,4,0.5,4,4,8,1,0,3,1,2,6,10
202210290BRK,10/29/2022,Ben Simmons,simmobe01,35.42,7,0.429,0,0,,3,5,0.6,2,6,8,9,1,1,2,4,9,19
202210300PHO,10/30/2022,Jae'Sean Tate,tateja01,30,7,0.571,1,1,1,0,0,,4,1,5,3,1,0,2,4,9,15
202210310UTA,10/31/2022,Steven Adams,adamsst01,18.31,4,0.25,0,0,,0,1,0,2,7,9,1,1,1,4,1,2,9
202211140ORL,11/14/2022,Franz Wagner,wagnefr01,33.35,17,0.529,1,1,1,4,4,1,1,5,6,3,0,0,3,2,23,39
202211160PHO,11/16/2022,Kevon Looney,looneke01,20.25,6,0.833,0,0,,0,0,,2,6,8,2,0,1,0,2,10,12
202211200PHO,11/20/2022,Isaiah Hartenstein,harteis01,15.22,5,0.4,0,0,,3,3,1,1,2,3,1,1,1,1,2,7,13
202211280SAC,11/28/2022,Keegan Murray,murrake02,22.46,11,0.455,1,1,1,0,0,,1,1,2,1,0,1,3,2,11,23
202212030LAC,12/3/2022,Ivica Zubac,zubaciv01,27.05,6,0.833,0,0,,3,4,0.75,5,10,15,1,1,0,1,4,13,16
202212030MIN,12/3/2022,Rudy Gobert,goberru01,9.13,3,1,0,0,,0,2,0,2,2,4,0,0,0,0,2,6,8
202212090NOP,12/9/2022,Deandre Ayton,aytonde01,39.39,15,0.733,0,0,,3,5,0.6,4,10,14,2,1,1,3,3,25,35
202212110PHI,12/11/2022,Mason Plumlee,plumlma01,25.35,5,0.4,0,0,,3,3,1,5,7,12,5,1,1,2,3,7,13
202212220UTA,12/22/2022,Daniel Gafford,gaffoda01,19.41,9,0.667,0,0,,1,1,1,1,1,2,0,0,1,1,3,13,19
202212310MEM,12/31/2022,Jonas ValanÄiÅ«nas,valanjo01,22.26,5,0.4,1,1,1,1,2,0.5,1,5,6,0,1,3,0,6,6,13
202301040CHI,1/4/2023,Nic Claxton,claxtni01,33.12,10,0.5,0,0,,1,2,0.5,3,3,6,2,1,3,1,4,11,22
202301060OKC,1/6/2023,Daniel Gafford,gaffoda01,25.26,8,0.875,0,0,,1,5,0.2,4,5,9,2,0,1,1,4,15,21
202301080OKC,1/8/2023,Dwight Powell,poweldw01,25.27,0,,0,0,,6,8,0.75,2,5,7,2,0,0,0,1,6,8
202301080HOU,1/8/2023,Alperen ÅžengÃ¼n,sengual01,35.17,15,0.533,0,0,,2,4,0.5,3,5,8,2,0,1,5,5,18,34
202301180UTA,1/18/2023,Ivica Zubac,zubaciv01,26,13,0.538,0,0,,1,1,1,7,5,12,1,0,2,2,2,15,27
202301250SAC,1/25/2023,Domantas Sabonis,sabondo01,34.39,9,0.444,1,1,1,0,0,,2,6,8,4,3,0,9,3,9,19
202301250POR,1/25/2023,Walker Kessler,kesslwa01,18.22,4,0.75,0,0,,0,2,0,2,3,5,2,0,1,2,3,6,10
202301260HOU,1/26/2023,Alperen ÅžengÃ¼n,sengual01,30.19,10,0.6,0,0,,2,3,0.667,1,6,7,7,2,2,4,4,14,23
202302030WAS,2/3/2023,Drew Eubanks,eubandr01,17.51,4,0.25,0,0,,3,4,0.75,3,1,4,2,1,1,0,4,5,12
202302050MIN,2/5/2023,DeAndre Jordan,jordade01,24.45,5,0.6,0,0,,0,1,0,1,5,6,0,1,1,2,1,6,11
202302070LAL,2/7/2023,Rui Hachimura,hachiru01,26.26,7,0.714,1,1,1,3,4,0.75,1,5,6,0,0,0,1,0,14,19
202302080TOR,2/8/2023,Jakob Poeltl,poeltja01,27.49,11,0.364,0,0,,4,4,1,3,4,7,3,2,0,2,3,12,26
202302130NYK,2/13/2023,Jericho Sims,simsje01,24.04,1,1,0,0,,0,0,,2,5,7,0,0,0,1,2,2,2
202302140LAC,2/14/2023,Kevon Looney,looneke01,27.03,7,0.714,0,0,,1,2,0.5,6,8,14,1,0,1,0,2,11,16
202302160PHO,2/16/2023,Deandre Ayton,aytonde01,31.56,13,0.615,0,0,,2,2,1,0,6,6,0,0,1,1,4,18,28
202302240WAS,2/24/2023,Daniel Gafford,gaffoda01,12.15,1,1,0,0,,1,1,1,0,3,3,0,0,0,3,4,3,3
202302270CHO,2/27/2023,James Wiseman,wisemja01,26.38,11,0.818,1,1,1,4,6,0.667,4,3,7,0,0,0,0,0,23,29
202303020GSW,3/2/2023,Mason Plumlee,plumlma01,29.02,5,0.6,0,0,,6,6,1,2,18,20,2,0,0,3,2,12,16
202303090SAC,3/9/2023,Mitchell Robinson,robinmi01,19.33,6,0.667,0,0,,1,2,0.5,6,2,8,1,0,0,0,4,9,14
202303090IND,3/9/2023,Alperen ÅžengÃ¼n,sengual01,25.35,11,0.636,0,0,,0,2,0,3,5,8,3,0,2,3,4,14,24
202303100LAL,3/10/2023,Anthony Davis,davisan02,32.34,7,0.571,0,0,,0,0,,3,6,9,3,0,4,1,3,8,14
202303130MIA,3/13/2023,Walker Kessler,kesslwa01,30.02,4,0.75,0,0,,1,2,0.5,2,7,9,1,0,1,0,3,7,10
202303130ATL,3/13/2023,Clint Capela,capelca01,21.35,7,0.714,0,0,,0,0,,5,5,10,0,1,2,0,0,10,14
202303140SAS,3/13/2023,Markelle Fultz,fultzma01,30.51,13,0.385,0,0,,3,3,1,2,2,4,6,1,1,2,2,13,29
202303150SAS,3/15/2023,Romeo Langford,langfro01,20.46,10,0.5,1,1,1,6,6,1,4,0,4,0,0,1,0,3,17,27
202303170SAS,3/17/2023,Xavier Tillman Sr.,tillmxa01,21.03,8,0.625,0,0,,2,2,1,3,3,6,3,0,0,1,2,12,18
202303290OKC,3/29/2023,James Wiseman,wisemja01,28.48,9,0.778,0,0,,0,0,,2,9,11,0,0,0,3,3,14,18
202304050ATL,4/5/2023,Daniel Gafford,gaffoda01,22.47,10,0.8,0,0,,9,9,1,4,6,10,1,1,2,3,3,25,29
202304070NOP,4/7/2023,Isaiah Hartenstein,harteis01,19.01,1,0,0,0,,0,0,,0,3,3,5,0,1,1,5,0,2
202304090NYK,4/9/2023,Isaiah Jackson,jacksis01,25.4,6,0.167,0,0,,4,6,0.667,4,5,9,3,1,2,3,3,6,18
202304160PHO,4/16/2023,Ivica Zubac,zubaciv01,29.43,8,0.625,0,0,,2,4,0.5,4,11,15,0,0,0,3,3,12,20
202304230NYK,4/22/2023,Jarrett Allen,allenja01,40.01,11,0.636,0,0,,0,0,,1,3,4,0,1,0,1,1,14,22
202012220BRK,12/22/2020,James Wiseman,wisemja01,24.17,13,0.538,1,1,1,4,8,0.5,1,5,6,0,2,0,1,2,19,35
202012280ATL,12/28/2020,Clint Capela,capelca01,19.54,5,0.6,0,0,,1,2,0.5,2,7,9,1,0,2,0,1,7,12
202101120CLE,1/12/2021,JaVale McGee,mcgeeja01,20.57,8,0.5,0,0,,0,0,,2,7,9,3,0,2,2,2,8,16
202101220MIN,1/22/2021,Jarred Vanderbilt,vandeja01,26.5,10,0.5,0,0,,0,0,,1,3,4,4,2,1,0,1,10,20
202101230MIN,1/23/2021,Steven Adams,adamsst01,23.19,3,0.667,0,0,,1,2,0.5,3,0,3,2,0,0,3,3,5,8
202101290MIN,1/29/2021,Josh Okogie,okogijo01,17.47,3,0.667,0,0,,0,0,,0,1,1,2,0,0,1,1,4,6
202102070NYK,2/7/2021,Mitchell Robinson,robinmi01,31.55,4,0.5,0,0,,2,2,1,3,4,7,0,0,1,0,5,6,10
202102090SAC,2/9/2021,Richaun Holmes,holmeri01,22.03,9,0.556,0,0,,0,1,0,2,3,5,1,0,1,1,5,10,19
202102210NYK,2/21/2021,Jarred Vanderbilt,vandeja01,15.5,2,0.5,0,0,,0,0,,1,1,2,1,1,0,2,3,2,4
202102210ORL,2/21/2021,Mason Plumlee,plumlma01,28.08,5,0.8,0,0,,2,2,1,0,7,7,3,2,0,1,4,10,12
202102240NOP,2/24/2021,Mason Plumlee,plumlma01,32.18,10,0.9,0,0,,3,5,0.6,1,8,9,7,0,4,3,3,21,25
202102280SAC,2/28/2021,Bismack Biyombo,biyombi01,19.59,3,0.667,0,0,,2,2,1,3,1,4,0,0,0,1,3,6,8
202103030SAC,3/3/2021,Richaun Holmes,holmeri01,29.59,12,0.667,0,0,,0,0,,1,8,9,1,0,1,1,2,16,24
202103130PHO,3/13/2021,Deandre Ayton,aytonde01,29.03,10,0.7,0,0,,0,2,0,4,8,12,1,1,2,2,2,14,22
202103160MIA,3/16/2021,Jarrett Allen,allenja01,26.46,8,0.5,0,0,,0,0,,3,7,10,2,0,2,0,3,8,16
202103190CLE,3/19/2021,Jarrett Allen,allenja01,32.12,8,0.75,0,0,,3,4,0.75,3,8,11,2,0,2,2,1,15,20
202103230NYK,3/23/2021,Alex Len,lenal01,11.32,2,1,0,0,,1,2,0.5,2,1,3,0,0,3,1,1,5,6
202104010SAS,4/1/2021,Jakob Poeltl,poeltja01,43.39,8,0.75,0,0,,2,3,0.667,4,6,10,3,2,1,1,3,14,19
202104020NOP,4/2/2021,Jaxson Hayes,hayesja02,26.42,9,0.444,0,0,,4,4,1,1,3,4,0,0,1,0,3,12,22
202104020POR,4/2/2021,Jusuf NurkiÄ‡,nurkiju01,21.28,7,0.286,1,1,1,4,4,1,5,6,11,3,1,0,3,4,9,19
202104040BOS,4/4/2021,Bismack Biyombo,biyombi01,21.15,2,1,0,0,,2,6,0.333,1,2,3,2,0,2,0,3,6,10
202104070IND,4/7/2021,Edmond Sumner,sumneed01,22.21,6,0.5,1,1,1,0,0,,0,1,1,1,0,1,1,3,7,13
202104070ATL,4/7/2021,Onyeka Okongwu,okongon01,32.19,12,0.5,0,0,,1,2,0.5,6,5,11,1,0,2,0,3,13,26
202104070BRK,4/7/2021,Steven Adams,adamsst01,20.06,6,0.667,0,0,,0,2,0,4,1,5,1,0,0,1,1,8,14
202104080SAC,4/8/2021,Richaun Holmes,holmeri01,25.03,8,0.625,0,0,,5,6,0.833,1,8,9,1,2,2,2,4,15,22
202104140MEM,4/14/2021,Jonas ValanÄiÅ«nas,valanjo01,32.42,13,0.538,0,0,,5,8,0.625,9,7,16,2,0,0,1,5,19,34
202104170WAS,4/17/2021,Mason Plumlee,plumlma01,16.23,4,0.25,0,0,,0,2,0,2,5,7,2,0,1,1,2,2,10
202104190DET,4/19/2021,Jarrett Allen,allenja01,27.51,4,0.5,0,0,,1,1,1,1,4,5,0,1,1,3,2,5,9
202104220BOS,4/21/2021,Deandre Ayton,aytonde01,33.47,8,0.625,0,0,,0,0,,3,6,9,1,1,1,0,3,10,16
202104230BRK,4/23/2021,DeAndre Jordan,jordade01,24.33,5,0.6,0,0,,2,3,0.667,2,9,11,3,1,3,4,2,8,13
202104250GSW,4/25/2021,Kevon Looney,looneke01,25.25,12,0.333,0,0,,0,0,,6,3,9,1,0,0,0,4,8,24
202104300PHO,4/30/2021,Royce O'Neale,onealro01,28.55,2,0.5,1,1,1,0,0,,0,4,4,3,2,0,2,3,3,5
202105060DET,5/6/2021,Jonas ValanÄiÅ«nas,valanjo01,31.3,12,0.75,0,0,,1,2,0.5,6,10,16,2,0,2,2,2,19,26
202105090CHO,5/9/2021,Bismack Biyombo,biyombi01,25.32,2,0,0,0,,0,0,,2,6,8,1,0,3,3,4,0,4
202105110TOR,5/11/2021,Stanley Johnson,johnsst04,20.54,6,0.5,1,1,1,2,2,1,0,2,2,3,1,0,2,5,9,15
202105140DAL,5/14/2021,Freddie Gillespie,gillefr01,36,2,0.5,0,0,,2,2,1,1,6,7,1,1,1,2,3,4,6
202105190MEM,5/19/2021,Jakob Poeltl,poeltja01,32.03,6,0.667,0,0,,2,4,0.5,4,6,10,2,0,5,2,5,10,16
202210190SAS,10/19/2022,Jakob Poeltl,poeltja01,26.59,13,0.538,0,0,,0,0,,4,5,9,2,0,0,3,2,14,26
202210240POR,10/24/2022,Nikola JokiÄ‡,jokicni01,26.58,4,0.75,0,0,,3,3,1,1,8,9,9,0,0,1,5,9,11
202210240MIA,10/24/2022,Christian Koloko,kolokch01,17.37,2,0.5,0,0,,0,0,,0,2,2,2,0,1,0,5,2,4
202210260MIL,10/26/2022,Nic Claxton,claxtni01,23.26,4,0.25,0,0,,1,2,0.5,4,4,8,1,0,2,1,3,3,10
202210290MIL,10/29/2022,Giannis Antetokounmpo,antetgi01,32.37,22,0.5,1,1,1,11,19,0.579,5,12,17,4,0,1,2,4,34,64
202210300LAC,10/30/2022,Ivica Zubac,zubaciv01,23.26,3,0.667,0,0,,0,2,0,0,6,6,1,0,2,1,3,4,8
202210300SAS,10/30/2022,Rudy Gobert,goberru01,27.22,11,0.364,0,0,,1,3,0.333,6,6,12,0,1,2,1,2,9,25
202211070PHI,11/7/2022,Chris Paul,paulch01,13.45,1,1,0,0,,0,0,,0,2,2,2,2,0,2,1,2,2
202211090ORL,11/9/2022,Dwight Powell,poweldw01,18.5,2,0.5,0,0,,0,0,,0,4,4,0,3,0,1,4,2,4
202211170SAC,11/17/2022,Jakob Poeltl,poeltja01,27.21,9,0.556,0,0,,0,0,,3,4,7,4,1,1,2,4,10,18
202211220PHI,11/22/2022,Montrezl Harrell,harremo01,15.45,8,0.25,0,0,,2,2,1,6,1,7,0,0,0,1,1,6,18
202211280UTA,11/28/2022,Jarred Vanderbilt,vandeja01,22.24,4,1,1,1,1,0,2,0,2,5,7,3,1,0,1,2,9,11
202211300NYK,11/30/2022,Jevon Carter,carteje01,31.52,2,0.5,1,1,1,0,0,,1,2,3,2,0,1,0,1,3,5
202212100CHI,12/10/2022,Dwight Powell,poweldw01,17.59,4,0.75,0,0,,0,0,,2,4,6,0,0,0,0,2,6,8
202212140LAC,12/14/2022,Ivica Zubac,zubaciv01,17.15,5,0.2,0,0,,0,0,,5,3,8,0,0,0,2,2,2,10
202212140IND,12/14/2022,Kevon Looney,looneke01,21.23,5,0.4,0,0,,0,0,,1,5,6,3,0,0,0,3,4,10
202212140CHO,12/14/2022,Mason Plumlee,plumlma01,34.16,8,0.625,0,0,,2,4,0.5,11,7,18,3,0,0,1,3,12,20
202212210BRK,12/21/2022,Kevon Looney,looneke01,16.55,5,0.4,0,0,,2,2,1,4,3,7,1,0,0,1,3,6,12
202212270BOS,12/27/2022,Alperen ÅžengÃ¼n,sengual01,21.56,3,0,0,0,,0,0,,4,5,9,2,1,0,1,2,0,6
202212300GSW,12/30/2022,Drew Eubanks,eubandr01,31.45,6,0.667,0,0,,0,1,0,2,5,7,2,1,1,2,5,8,13
202212310CHO,12/31/2022,Mason Plumlee,plumlma01,29.32,14,0.643,0,0,,4,4,1,5,5,10,3,1,0,0,3,22,32
202301080PHO,1/8/2023,Mikal Bridges,bridgmi01,38.01,10,0.7,1,1,1,0,0,,0,2,2,3,2,0,2,1,15,21
202301080IND,1/8/2023,Mason Plumlee,plumlma01,31.37,10,0.6,0,0,,6,6,1,4,9,13,2,0,0,2,4,18,26
202301110SAC,1/11/2023,Alperen ÅžengÃ¼n,sengual01,28.23,9,0.556,0,0,,0,1,0,2,8,10,10,1,0,2,4,10,19
202301110MEM,1/11/2023,Jakob Poeltl,poeltja01,25.47,13,0.538,0,0,,3,5,0.6,6,6,12,0,0,5,0,2,17,31
202301120TOR,1/12/2023,Mason Plumlee,plumlma01,34.45,6,1,0,0,,4,6,0.667,5,10,15,4,1,1,2,1,16,18
202301150LAL,1/15/2023,Thomas Bryant,bryanth01,20.29,9,0.556,0,0,,0,0,,1,2,3,0,0,1,0,2,10,18
202301270OKC,1/27/2023,Jarrett Allen,allenja01,35.36,8,0.75,0,0,,1,2,0.5,5,4,9,0,0,1,0,1,13,18
202302040BRK,2/4/2023,Daniel Gafford,gaffoda01,30.14,7,0.571,0,0,,2,3,0.667,2,8,10,0,1,1,1,2,10,17
202302070DEN,2/7/2023,Rudy Gobert,goberru01,18.49,2,0,0,0,,0,0,,1,4,5,0,0,1,1,2,0,4
202302100DET,2/10/2023,Jalen Duren,durenja01,41.53,20,0.65,0,0,,4,9,0.444,7,10,17,3,1,4,1,4,30,49
